PMS,CLASS,TYPE,FACING,DIA(LOW),DIA(HIGH),RATING,DESIGN_STANDARD,MATERIAL_DESCRIPTION
EIL,D2D,SEAMLESS,PE,1,1.5,XS,B-36.10,ASTM A335 GR.P11
EIL,D2D,SEAMLESS,BE,2,8,XS,B-36.10,ASTM A335 GR.P11
EIL,D2D,SEAMLESS,BE,10,10,XS,B-36.10,ASTM A335 GR.P11
EIL,D2D,SEAMLESS,BE,12,14,S60,B-36.10,ASTM A335 GR.P11
EIL,D2D,EFSW,BE,16,24,S60,B-36.10,ASTM A691 GR.1.25CR CL.42
EIL,D5D,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A335 GR.P11
EIL,D5D,SEAMLESS,PE,1,1.5,XS,B-36.10,ASTM A335 GR.P11
EIL,D5D,SEAMLESS,BE,2,8,XS,B-36.10,ASTM A335 GR.P11
EIL,D5D,SEAMLESS,BE,10,14,CALC,B-36.10,ASTM A335 GR.P11
EIL,D5D,EFSW,BE,16,24,CALC,B-36.10,ASTM A691 GR.1.25CR CL.42
EIL,D65D,SEAMLESS,PE,0.5,0.75,S160,B-36.10,ASTM A335 GR.P11
EIL,D65D,SEAMLESS,PE,1,1.5,XS,B-36.10,ASTM A335 GR.P11
EIL,D65D,SEAMLESS,BE,2,8,XS,B-36.10,ASTM A335 GR.P11
EIL,D65D,SEAMLESS,BE,10,10,S80,B-36.10,ASTM A335 GR.P11
EIL,D65D,EFSW,BE,16,24,CALC,B-36.10,ASTM A691 GR.1.25CR CL.42
EIL,D1K,SEAMLESS,PE,0.5,0.75,80S,B-36.19,ASTM A312 TP304
EIL,D1K,SEAMLESS,PE,1,1.5,40S,B-36.19,ASTM A312 TP304
EIL,D1K,SEAMLESS,BE,2,6,40S,B-36.19,ASTM A312 TP304
EIL,D1K,SEAMLESS,BE,8,8,CALC,B-36.19,ASTM A312 TP304
EIL,D1K,EFSW,BE,10,24,CALC,B-36.19,ASTM A358 TP304 CL.1
EIL,D15M,SEAMLESS,PE,0.5,0.75,80S,B-36.19,ASTM A312 TP321
EIL,D15M,SEAMLESS,PE,1,1.5,40S,B-36.19,ASTM A312 TP321
EIL,D15M,SEAMLESS,BE,2,2,80S,B-36.19,ASTM A312 TP321
EIL,D15M,SEAMLESS,BE,3,3,40S,B-36.19,ASTM A312 TP321
EIL,D15M,SEAMLESS,BE,4,4,40S,B-36.19,ASTM A312 TP321
EIL,D15M,SEAMLESS,BE,6,6,80S,B-36.19,ASTM A312 TP321
EIL,D15M,SEAMLESS,BE,8,8,80S,B-36.19,ASTM A312 TP321
